Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,Število pričakovanih novih članov v obdobju za vse kontekste,Yes
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Število pričakovanih osipov v obdobju za vse kontekste,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,1-2-1s/član/mesec,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Priporočila/član/teden,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Cilj podaljšanja,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Skupno predloženo podaljšanje ob koncu obdobja,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Želeno zadržanje ob koncu obdobja (npr.: 70),Yes
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,Pričakovana povprečna velikost poglavja ob koncu obdobja,Yes
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,Sledenje ciljem,Yes
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,Hvala za zaključeno poslovanje,Yes
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,Obiskovalci/poglavje/teden,Yes
I18N_GOALS,,Goals,Cilji,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,Večje ali enako 0,Yes
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,večja ali enaka 2 napakama,Yes
I18N_GREEN,I18NCode for Green,Green,zelena,Yes
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,"novih članov, ki so dosegli Green",Yes
I18N_GRN,I18NCode for #Grn on table label,#Grn,#Grn,Yes
I18N_GROUP,I18NCode for Group,Group,skupina,Yes
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,Skupinski klepet,Yes
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,Samo skupinski klepeti,Yes
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,Poglavje Mehanizmi,Yes
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,Člani skupine,Yes
I18N_GROUPS,,Chapters,Poglavja,Yes
I18N_GROW,I18NCode for Grow.,Grow.,Rasti.,Yes
I18N_GROWTH,I18NCode for Growth,Growth,Rast,Yes
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,Mehanizmi za sledenje rasti,Yes
I18N_GRY,I18NCode for #Gry on table label,#Gry,#Gry,Yes
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,z opredeljenimi cilji,Yes
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,Ima finančne podatke,Yes
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,ima cilj,Yes
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,Ste že ponastavili geslo?,Yes
I18N_HELP,I18NCode for Help,Help,pomoč,Yes
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.","Povlecite na položaj, uporabite vogale, da spremenite velikost območja obrezovanja.",Yes
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,Skrij iz poročila,Yes
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,Gostiteljska ekipa,Yes
I18N_HOW,I18NCode for How,How,kako,Yes
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,Kako lahko nastavim opravila v Reporting2You in avtomatiziram opravilo Zero-To-One,Yes
I18N_HOW_DO_I,I18NCode for How do i,How do i...,Kako naj...,Yes
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,Kako varujemo vaše podatke?,Yes
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,Kako dolgo bodo vaši podatki shranjeni?,Yes
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,Kako se te informacije uporabljajo?,Yes
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,Kako naj izboljšam,Yes
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,Sem nov v Reporting2You!,Yes
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,Opis je zelo uporaben,Yes
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,Zgodovina,Yes
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,ZeroREF/W,Yes
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,Kode I18N,Yes
I18N_ICON,I18NCode for Icon,Icon,Ikona,Yes
I18N_IGNORED,I18NCode to Ignored,Ignored,Prezrto,Yes
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,Igra s slikami,Yes
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,Napaka pri pošiljanju slike.,Yes
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,Slika je bila uspešno poslana.,Yes
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,Način poosebljanja,Yes
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,Izvedite igro BNI,Yes
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.","Opomba: Če želite konfigurirati to poročilo za pošiljanje članom ali direktorjem, morate odpreti Regionalna uprava -> Regionalne nastavitve in v razdelku Poročila določiti, komu želite prejeti poročilo o igri BNI.<br/>",Yes
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,Uvozi prevode,Yes
I18N_IMPROVE,I18NCode for Improve,To improve,Za izboljšanje,Yes
I18N_IN,I18NCode for In,In,noter,Yes
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,V zadnjem,Yes
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,V zadnjem,Yes
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,v tem časovnem obdobju.,Yes
I18N_INACTIVE,I18NCode for Inactive,Inactive,Neaktiven,Yes
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,Obvestilo o neaktivnosti,Yes
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,Nepopoln prenos,Yes
I18N_INDICATORS,I18NCode for Indicators,Indicators,Indikatorji,Yes
I18N_INDUSTRY,I18NCode for Industry,Industry,Industrija,Yes
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,Začetno štetje,Yes
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,Začnite anketo,Yes
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,Izpolnite kodo z I18N,Yes
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,Vnesite ime za novo vrsto modula,Yes
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,Vnesite ime novega konteksta,Yes
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,Izpolnite z opisom I18NCode,Yes
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,Spustite datoteke sem,Yes
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,Izpolnite opis novega jezika,Yes
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,Vnesite jezik novega jezika,Yes
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,Vnesite kratko ime novega jezika,Yes
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,Mehanizmi za vstavljanje,Yes
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,Vnesite ime novega modula,Yes
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,Vnesite ime za novo vrsto modula,Yes
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,Vstavite opis profila,Yes
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,Vnesite ime profila,Yes
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,Vnesite opis,Yes
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,Izpolnite opis jezika,Yes
I18N_INTERNAL,I18NCode for Internal,Internal,Notranji,Yes
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,Neveljavne poverilnice,Yes
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,Neveljaven ali potekel žeton,Yes
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,<strong>Neveljaven žeton!</strong> Predloženi žeton je neveljaven.,Yes
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,Neveljavni uporabniški podatki,Yes
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,Je Reporting2you skladen z GDPR,Yes
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,Članov ni bilo mogoče naložiti,Yes
I18N_JANUARY,I18NCode for January,January,januarja,Yes
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,Datum pridružitve,Yes
I18N_JULY,I18NCode for July,July,julija,Yes
I18N_JUNE,I18NCode for June,June,junija,Yes
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,Ključne meritve,Yes
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,Vljudno predlagajte to,Yes
I18N_KPI,I18NCode for KPI's,Kpi's,Kpi-ji,Yes
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,Korelacija Kpi,Yes
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,Razvoj KPI,Yes
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,Igra Kpi,Yes
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,Igra KPI KPIS,Yes
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,Kpi,Yes
I18N_L,I18NCode for L,L,L,Yes
I18N_LANGUAGE,I18NCode for the language name 	,Language,Jezik,Yes
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,Opis,Yes
I18N_LANGUAGES,I18NCodes for Languages,Languages,Jeziki,Yes
I18N_LAST,I18NCode for Last,Last,Zadnji,Yes
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,Zadnjih 6 mesecev,Yes
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,Zadnji zaprti mesec,Yes
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,Zadnji člani v semaforju,Yes
I18N_LAST_MONTH,I18CodeN for last month,Last month:,Prejšnji mesec:,Yes
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,Priimek,Yes
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,Zadnji novi član,Yes
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,Zadnje sponzorstvo,Yes
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,Zadnji oddan PALMS,Yes
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,Zadnja posodobitev,Yes
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,Zadnjih 12 mesecev ::,Yes
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,Zadnji mesec,Yes
I18N_LATE,I18NCode for Late,Late,Pozno,Yes
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,Zadnja prejeta poročila,Yes
I18N_LAUNCH,I18NCode for Launch,Launch,Zagon,Yes
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,Datum lansiranja,Yes
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,Vodstvena ekipa,Yes
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,Semaforji vodstvene ekipe (LT).,Yes
I18N_LEAVING,I18NCode for Exiting,Leaving,Odhajam,Yes
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),Dolžina (leta),Yes
I18N_LEVEL,I18NCode for Level,Level,Raven,Yes
I18N_LOADING,I18NCode for Loading,Loading...,Nalaganje...,Yes
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",Pozor!!!,Yes
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,Lokacija in podrobnosti,Yes
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,Prijavite se v Reporting2You,Yes
I18N_LOG_OUT,I18NCode for Log Out,Logout,Odjava,Yes
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,Prijava ni uspela,Yes
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,Prijavite se z e-pošto,Yes
I18N_LT,I18NCode for LT,LT,LT,Yes
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,LT Začasna prekinitev članstva,Yes
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,Aktivirajte začasno prekinitev članstva v LT,Yes
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,Metoda točkovanja semaforjev LT,Yes
I18N_M,I18NCode for M,M,M,Yes
I18N_MANAGE,I18NCode for manage.,Manage,Upravljaj,Yes
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,Upravljajte cilje poglavja,Yes
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,Upravljajte državne cilje,Yes
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,Glavni direktor Cilj,Yes
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,Upravljajte večregijske cilje,Yes
I18N_MANAGE_REGION_GOALS,I18NCode for Manage region goals,Manage Region Goals,Upravljanje regijskih ciljev,Yes
I18N_MANAGE_TASKS,I18NCode for Manage Tasks Menu,Manage your tasks,Upravljajte svoje naloge,Yes
I18N_MANAGE_TEAM_GOALS,,Manage Team Goals,Upravljajte cilje ekipe,Yes
I18N_MANAGE_YOUR_GOAL,I18NCode to Manage your goal,Manage your Goal!,Upravljajte svoj cilj!,Yes
I18N_MARCH,I18NCode for March,March,marec,Yes
I18N_MARKET,I18NCode for Market,Market,trg,Yes
I18N_MAX,I18NCode represent Max:,Max:,Max:,Yes
I18N_MAXIMUM,I18NCode for Maximum,File too large. The maximum size is 5MB.,Datoteka je prevelika.,Yes
I18N_MAY,I18NCode for May,May,maja,Yes
I18N_MB,I18NCode for MB,MB,MB,Yes
I18N_MC,I18NCode for MC,MC,MC,Yes
I18N_MCKPI_DESCRIPTION,I18NCode for MCKPI Description,"This is a  <strong>monthly report</strong> that usually is sent to each Leadership Team every 3rd working day of the month.<br/>

It is a fantastic report that has two pages, in the first one you can see the Leadership Team members and the major chapter Key Performance Indicator for 12 and 6 months and at the second page, you will find the previous month Chapter Notable Networkers for Referrals, Business Given, One-to-Ones and Visitors.

It really saves time to LT and, if they print the report, they can use it at the Checkin Table...","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsaki vodstveni ekipi vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MCKPI_MONTHLY_CHAPTER_KEY_PERFORMANCE_INDICATORS_REPORT,I18NCode for MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Monthly Chapter Key Performance Indicators Report,MCKPI - Mesečno poročilo o ključnih kazalnikih uspešnosti poglavja,Yes
I18N_MCMTE_DESCRIPTION,I18NCode for MCMTE Description,"This is a <strong>monthly report</strong> that usually is sent to LT's and DC's (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their members performance evolution and also the ability to understand Mentors success.","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje LT in DC (izvajalec mora določiti, kdo ga prejme, LT, DC ...) vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MCMTE_MONTHLY_MEMBER_TRAFFIC_LIGHTS_EVOLUTION_,I18NCode for MCMTE Monthly Member Traffic Lights Evolution ,MCMTE - Monthly Member Traffic Lights Evolution,MCMTE - mesečni članski razvoj semaforjev,Yes
I18N_MCMTL__MONTHLY_MEMBER_TRAFFIC_LIGHTS_REPORT,I18NCode for MCMTL - Monthly Member Traffic Lights Report,MCMTL - Monthly Member Traffic Lights Report,MCMTL - Mesečno poročilo o semaforjih za člane,Yes
I18N_MCMTL_DESCRIPTION,I18NCode for MCMTL Description,"This is a <strong>monthly report</strong> that usually is sent each member (the ED decides who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give each member enough information to understand where he needs to invest time in order to work is own VCP. If he opens the file with Adobe Acrobat Reader he can click his name and the system will tell him how many referrals, trainings, one-to-one, visitors, testimonials he needs to do to reach next color and Green... try it! It is really great.","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu članu (izvajalec določi, kdo ga prejme, LT, DC ...) vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MCP_DESCRIPTION,I18NCode for Description,"This is a <strong>monthly report</strong> that usually is sent to the Leadership Team every 3rd working day of the month.<br/>

The goal is to give each Leadership and DC a tool to look for the principal Key Success Factor to fix (Power of One), because in this report it is so easy to understand the chapter evolution on each and every KSF and other KPI's","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vodstveni ekipi vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MCP_MONTHLY_CHAPTER_PERFORMANCE_REPORT,I18NCode for MCP Monthly Chapter Performance Report,MCP - Monthly Chapter Performance Report,MCP - Mesečno poročilo o uspešnosti poglavja,Yes
I18N_MDAA_DESCRIPTION,I18NCode for MDAA Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu AD vsak 3. delovni dan v mesecu.",Yes
I18N_MDAA_MONTHLY_AREA_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDAA  Monthly Area Director Consultant Alert Report,MDAA - Monthly Area Director Consultant Alert Report,MDAA - Mesečno opozorilno poročilo območnega direktorja svetovalca,Yes
I18N_MDAP_DESCRIPTION,I18NCode for MDAP Description,"This is a <strong>monthly report</strong> that usually is sent to each AD every 3rd working day of the month.<br/>

The goal is to give the AD a tool to look understand his performance and evolution on each and every KSF and other KPI's","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu AD vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MDAP_MONTHLY_AREA_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDAP Monthly Area Director Consultant Performance Report,MDAP - Monthly Area Director Consultant Performance Report,MDAP - Mesečno poročilo o uspešnosti območnega direktorja svetovalca,Yes
I18N_MDCA_DESCRIPTION,I18NCode for MDCA,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu DC vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MDCA_MONTHLY_DIRECTOR_CONSULTANT_ALERT_REPORT,I18NCode for MDCA  Monthly Director Consultant Alert Report,MDCA - Monthly Director Consultant Alert Report,MDCA - Mesečno opozorilno poročilo svetovalca direktorja,Yes
I18N_MDCP_DESCRIPTION,I18NCode for MDCP Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

The goal is to give the DC a tool to look understand his performance and evolution on each and every KSF and other KPI's","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu DC vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP - Mesečno poročilo o uspešnosti svetovalca direktorja,Yes
I18N_ME,I18NCode for Me,Me,jaz,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Mehanizmi,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Srečanje,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Mega regija,Yes
I18N_MEM,I18NCode for MEM,MEM,MEM,Yes
I18N_MEMBER,I18NCode for Member,Member,član,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Analiza članov,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Pretok članov,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Upravljanje članov,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Mehanizmi članov,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,Naloge podpore članom LT ali MC,Yes
I18N_MEMBERS,I18NCode for Members,Members,člani,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Poglavja in člani,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 točk,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,člani/oddelek,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Člani štejejo,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,"Člani, ki spadajo v TL za",Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Člani v semaforju,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Seznam članov,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Članski poklic,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Zadovoljstvo članov,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Skupno število članov,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Člani/Uporabniki,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Člani z manj takrat,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Članstvo,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Starost članstva,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Odbor za članstvo,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Dolžina članstva,Yes
I18N_MENU,I18NCode for Menu,Menu,meni,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Možnosti menija,Yes
I18N_MENUS,I18NCode for Menus,Menus,Meniji,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Telo sporočila,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Vzpostavitev cilja poglavja je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Določitev cilja države je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Določitev direktorjevega cilja je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Vzpostavitev mehanizmov poglavij je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Vzpostavitev članskih mehanizmov je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Vzpostavitev cilja več regij je temeljni korak k uspehu.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Vzpostavitev regionalnega cilja je temeljni korak k uspehu.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Sporočilo za oddajo,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Sporočila,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Meritve uspešnosti,Yes
I18N_MIN,I18NCode represent Min:,Min:,Min.:,Yes
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Minimalna starost članstva,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,minut,Yes
